date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state
2016-01-10,MANILA CITY,49,0.2041666666666666,0.0054719562243502,0.3808353808353807,0.2982758620689655,0.4999999999999999,0.2257336343115124,-0.4812947749802099,-0.8765588055440143,Medium
2016-01-17,MANILA CITY,47,0.1958333333333333,0.0082079343365253,0.4717444717444719,0.443103448275862,0.5116657623440044,0.3227990970654626,-0.2292003909224141,-0.9733792584604484,Medium
2016-01-24,MANILA CITY,37,0.1541666666666666,0.0082079343365253,0.455773955773956,0.4603448275862071,0.4031470428648943,0.3544018058690744,-0.844327925502015,-0.5358267949789968,Medium
2016-01-31,MANILA CITY,31,0.1291666666666666,0.0082079343365253,0.3808353808353807,0.3620689655172416,0.387411828540423,0.3544018058690744,-0.2222292262513964,0.9749944466507005,Low
2016-02-07,MANILA CITY,33,0.1375,0.1677154582763337,0.253071253071253,0.3241379310344832,0.6201844818231146,0.2595936794582392,0.0104717841162458,-0.999945169365512,Low
2016-02-14,MANILA CITY,33,0.1375,0.0082079343365253,0.3783783783783783,0.2362068965517242,0.3331524688008679,0.3227990970654626,0.2387029488512823,0.9710926331765174,Low
2016-02-21,MANILA CITY,36,0.15,0.0082079343365253,0.3353808353808356,0.2534482758620693,0.3952794357026586,0.2595936794582392,-0.6495807543153655,-0.7602926039513214,Medium
2016-02-28,MANILA CITY,32,0.1333333333333333,0.0180574555403556,0.4336609336609339,0.3051724137931033,0.3719479110146499,0.3544018058690744,0.7751650613333931,-0.6317587575079564,Low
2016-03-06,MANILA CITY,32,0.1333333333333333,0.0054719562243502,0.3771498771498773,0.4034482758620689,0.5580575149213238,0.3544018058690744,0.0230363081876063,-0.99973462904167,Low
2016-03-13,MANILA CITY,20,0.0833333333333333,0.0082079343365253,0.6928746928746927,0.6103448275862073,0.3760173629951168,0.3227990970654626,-0.9849890569441702,0.1726167943748065,Low
2016-03-20,MANILA CITY,21,0.0875,0.0084815321477428,0.6093366093366093,0.5913793103448275,0.3255561584373306,0.291196388261851,0.0921967992962922,-0.9957408047275752,Low
2016-03-27,MANILA CITY,19,0.0791666666666666,0.0082079343365253,0.7162162162162167,0.531034482758621,0.3372219207813347,0.3882618510158013,-0.9220659278988153,-0.3870328469369193,Low
2016-04-03,MANILA CITY,35,0.1458333333333333,0.0027359781121751,0.6523341523341524,0.5982758620689659,0.329354313619099,0.291196388261851,-0.4852675035765308,0.8743657415364589,Medium
2016-04-10,MANILA CITY,26,0.1083333333333333,0.0082079343365253,0.8390663390663397,0.7017241379310345,0.1782419967444383,0.4853273137697517,-0.8362861558477596,0.5482932295199138,Low
2016-04-17,MANILA CITY,22,0.0916666666666666,0.0054719562243502,0.977886977886978,0.9189655172413796,0.3952794357026586,0.4514672686230248,-0.6921431738704069,-0.721760228098362,Low
2016-04-24,MANILA CITY,27,0.1125,0.0082079343365253,0.9336609336609336,0.8517241379310346,0.1356483993488876,0.419864559819413,-0.6748177623013637,0.7379844088343467,Low
2016-05-01,MANILA CITY,18,0.075,0.0106703146374829,0.8759213759213761,0.8293103448275865,0.3526858383071081,0.4514672686230248,-0.5748624492227397,-0.8182500623120251,Low
2016-05-08,MANILA CITY,23,0.0958333333333333,0.0082079343365253,1.0,0.9758620689655172,0.1861096039066738,0.548532731376975,-0.6688711591178838,0.7433783508418164,Low
2016-05-15,MANILA CITY,18,0.075,0.0054719562243502,0.8697788697788703,0.9189655172413796,0.2634291915355398,0.419864559819413,-0.7608591805274462,-0.6489170265967006,Low
2016-05-22,MANILA CITY,12,0.05,0.0725034199726402,0.7862407862407867,0.6327586206896554,0.6006511123168744,0.3227990970654626,-0.5802766062403056,-0.8144194621018295,Low
2016-05-29,MANILA CITY,19,0.0791666666666666,0.1403556771545827,0.7776412776412781,0.6913793103448278,0.7287032013022247,0.3882618510158013,-0.5573104391288477,-0.8303042059618937,Low
2016-06-05,MANILA CITY,12,0.05,0.0703146374829001,0.733415233415234,0.7120689655172417,0.7129679869777533,0.3882618510158013,-0.5918725087624555,-0.8060315957648541,Low
2016-06-12,MANILA CITY,16,0.0666666666666666,0.2790697674418604,0.638820638820639,0.5827586206896556,0.7170374389582201,0.4514672686230248,-0.5418549085794403,-0.8404720447750575,Low
2016-06-19,MANILA CITY,17,0.0708333333333333,0.0703146374829001,0.7702702702702705,0.7879310344827586,0.5697232772653283,0.3544018058690744,-0.9998625445384374,-0.0165798681876972,Low
2016-06-26,MANILA CITY,17,0.0708333333333333,0.2093023255813953,0.685503685503686,0.7000000000000003,0.6975040694519804,0.2595936794582392,0.8295252446849842,-0.5584692188745204,Low
2016-07-03,MANILA CITY,18,0.075,0.106703146374829,0.6228501228501226,0.5810344827586208,0.7441671188279977,0.1941309255079006,-0.3942627243429508,-0.9189977715934214,Low
2016-07-10,MANILA CITY,27,0.1125,0.6265389876880985,0.4668304668304671,0.4017241379310347,0.8602821486706456,0.5801354401805869,-0.734440971330458,-0.6786725717392543,Low
2016-07-17,MANILA CITY,32,0.1333333333333333,0.1781121751025991,0.7137592137592139,0.6224137931034481,0.7634291915355396,0.3227990970654626,-0.5418549085794403,-0.8404720447750575,Low
2016-07-24,MANILA CITY,50,0.2083333333333333,0.2101231190150478,0.7014742014742014,0.5620689655172416,0.6161150298426478,0.3227990970654626,-0.1641868465688626,-0.9864292571764957,Medium
