date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y
2016-01-10,MANILA CITY,49,0.20416666666666666,0.005471956224350205,0.3808353808353807,0.29827586206896556,0.4999999999999999,0.22573363431151244,-0.48129477498020995,-0.8765588055440143
2016-01-17,MANILA CITY,47,0.19583333333333333,0.008207934336525308,0.4717444717444719,0.44310344827586207,0.5116657623440044,0.32279909706546267,-0.22920039092241418,-0.9733792584604485
2016-01-24,MANILA CITY,37,0.15416666666666667,0.008207934336525308,0.455773955773956,0.46034482758620715,0.4031470428648943,0.35440180586907444,-0.844327925502015,-0.5358267949789968
2016-01-31,MANILA CITY,31,0.12916666666666668,0.008207934336525308,0.3808353808353807,0.3620689655172416,0.387411828540423,0.35440180586907444,-0.2222292262513964,0.9749944466507005
2016-02-07,MANILA CITY,33,0.1375,0.16771545827633377,0.253071253071253,0.3241379310344832,0.6201844818231146,0.25959367945823925,0.010471784116245846,-0.9999451693655121
2016-02-14,MANILA CITY,33,0.1375,0.008207934336525308,0.3783783783783783,0.23620689655172428,0.3331524688008679,0.32279909706546267,0.2387029488512823,0.9710926331765174
2016-02-21,MANILA CITY,36,0.15,0.008207934336525308,0.3353808353808356,0.25344827586206936,0.39527943570265867,0.25959367945823925,-0.6495807543153655,-0.7602926039513214
2016-02-28,MANILA CITY,32,0.13333333333333333,0.018057455540355677,0.43366093366093394,0.30517241379310334,0.37194791101464997,0.35440180586907444,0.7751650613333931,-0.6317587575079564
2016-03-06,MANILA CITY,32,0.13333333333333333,0.005471956224350205,0.3771498771498773,0.4034482758620689,0.5580575149213238,0.35440180586907444,0.02303630818760639,-0.9997346290416701
2016-03-13,MANILA CITY,20,0.08333333333333333,0.008207934336525308,0.6928746928746927,0.6103448275862073,0.3760173629951168,0.32279909706546267,-0.9849890569441702,0.17261679437480654
2016-03-20,MANILA CITY,21,0.0875,0.008481532147742818,0.6093366093366093,0.5913793103448275,0.3255561584373306,0.291196388261851,0.0921967992962922,-0.9957408047275753
2016-03-27,MANILA CITY,19,0.07916666666666666,0.008207934336525308,0.7162162162162167,0.531034482758621,0.3372219207813347,0.3882618510158013,-0.9220659278988153,-0.38703284693691936
2016-04-03,MANILA CITY,35,0.14583333333333334,0.0027359781121751026,0.6523341523341524,0.5982758620689659,0.32935431361909906,0.291196388261851,-0.48526750357653087,0.8743657415364589
2016-04-10,MANILA CITY,26,0.10833333333333334,0.008207934336525308,0.8390663390663397,0.7017241379310345,0.17824199674443839,0.4853273137697517,-0.8362861558477596,0.5482932295199138
2016-04-17,MANILA CITY,22,0.09166666666666666,0.005471956224350205,0.9778869778869779,0.9189655172413795,0.39527943570265867,0.4514672686230248,-0.6921431738704069,-0.721760228098362
2016-04-24,MANILA CITY,27,0.1125,0.008207934336525308,0.9336609336609337,0.8517241379310346,0.13564839934888767,0.41986455981941306,-0.6748177623013637,0.7379844088343467
2016-05-01,MANILA CITY,18,0.075,0.0106703146374829,0.8759213759213761,0.8293103448275865,0.3526858383071081,0.4514672686230248,-0.5748624492227397,-0.8182500623120251
2016-05-08,MANILA CITY,23,0.09583333333333334,0.008207934336525308,1.0,0.9758620689655172,0.18610960390667386,0.548532731376975,-0.6688711591178838,0.7433783508418164
2016-05-15,MANILA CITY,18,0.075,0.005471956224350205,0.8697788697788703,0.9189655172413795,0.26342919153553984,0.41986455981941306,-0.7608591805274462,-0.6489170265967006
2016-05-22,MANILA CITY,12,0.05,0.07250341997264022,0.7862407862407867,0.6327586206896554,0.6006511123168744,0.32279909706546267,-0.5802766062403056,-0.8144194621018295
2016-05-29,MANILA CITY,19,0.07916666666666666,0.14035567715458275,0.7776412776412781,0.6913793103448278,0.7287032013022247,0.3882618510158013,-0.5573104391288477,-0.8303042059618937
2016-06-05,MANILA CITY,12,0.05,0.07031463748290014,0.733415233415234,0.7120689655172417,0.7129679869777533,0.3882618510158013,-0.5918725087624555,-0.8060315957648541
2016-06-12,MANILA CITY,16,0.06666666666666667,0.27906976744186046,0.638820638820639,0.5827586206896556,0.7170374389582201,0.4514672686230248,-0.5418549085794403,-0.8404720447750575
2016-06-19,MANILA CITY,17,0.07083333333333333,0.07031463748290014,0.7702702702702705,0.7879310344827586,0.5697232772653283,0.35440180586907444,-0.9998625445384374,-0.01657986818769726
2016-06-26,MANILA CITY,17,0.07083333333333333,0.20930232558139536,0.685503685503686,0.7000000000000003,0.6975040694519804,0.25959367945823925,0.8295252446849842,-0.5584692188745204
2016-07-03,MANILA CITY,18,0.075,0.106703146374829,0.6228501228501226,0.5810344827586208,0.7441671188279977,0.19413092550790068,-0.39426272434295084,-0.9189977715934214
2016-07-10,MANILA CITY,27,0.1125,0.6265389876880985,0.4668304668304671,0.40172413793103473,0.8602821486706456,0.5801354401805869,-0.734440971330458,-0.6786725717392543
2016-07-17,MANILA CITY,32,0.13333333333333333,0.17811217510259916,0.7137592137592139,0.6224137931034481,0.7634291915355396,0.32279909706546267,-0.5418549085794403,-0.8404720447750575
2016-07-24,MANILA CITY,50,0.20833333333333334,0.21012311901504788,0.7014742014742014,0.5620689655172416,0.6161150298426478,0.32279909706546267,-0.16418684656886265,-0.9864292571764955
2016-07-31,MANILA CITY,62,0.25833333333333336,0.0640218878248974,0.660933660933661,0.7758620689655171,0.6473141616928921,0.35440180586907444,-0.4325578879576473,-0.9016061632251742
