date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state,month,week_of_year,day_of_year,year,month_sin,month_cos,week_of_year_sin,week_of_year_cos,RAINFALL_minmax_roll_mean_4w,RAINFALL_minmax_lag_1w,RAINFALL_minmax_lag_2w,RAINFALL_minmax_lag_3w,RAINFALL_minmax_lag_4w,TMAX_minmax_roll_mean_4w,TMAX_minmax_lag_1w,TMAX_minmax_lag_2w,TMAX_minmax_lag_3w,TMAX_minmax_lag_4w,TMIN_minmax_roll_mean_4w,TMIN_minmax_lag_1w,TMIN_minmax_lag_2w,TMIN_minmax_lag_3w,TMIN_minmax_lag_4w,RH_minmax_roll_mean_4w,RH_minmax_lag_1w,RH_minmax_lag_2w,RH_minmax_lag_3w,RH_minmax_lag_4w,cases_minmax_roll_mean_4w,cases_minmax_lag_1w,cases_minmax_lag_2w,cases_minmax_lag_3w,cases_minmax_lag_4w,TMAX_x_RH,T_range
2016-02-07,MANILA CITY,33,0.1375,0.1677154582763337,0.253071253071253,0.3241379310344832,0.6201844818231146,0.2595936794582392,0.0104717841162458,-0.999945169365512,Low,2,5,38,2016,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0.048084815321477396,0.0082079343365253,0.0082079343365253,0.0082079343365253,0.0054719562243502,0.3903562653562654,0.3808353808353807,0.455773955773956,0.4717444717444719,0.3808353808353807,0.3974137931034485,0.3620689655172416,0.4603448275862071,0.443103448275862,0.2982758620689655,0.4806022788931091,0.387411828540423,0.4031470428648943,0.5116657623440044,0.4999999999999999,0.15416666666666662,0.1291666666666666,0.1541666666666666,0.1958333333333333,0.2041666666666666,0.15695086395032135,-0.07106667796323018
2016-02-14,MANILA CITY,33,0.1375,0.0082079343365253,0.3783783783783783,0.2362068965517242,0.3331524688008679,0.3227990970654626,0.2387029488512823,0.9710926331765174,Low,2,6,45,2016,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0.048084815321477396,0.1677154582763337,0.0082079343365253,0.0082079343365253,0.0082079343365253,0.367014742014742,0.253071253071253,0.3808353808353807,0.455773955773956,0.4717444717444719,0.34568965517241407,0.3241379310344832,0.3620689655172416,0.4603448275862071,0.443103448275862,0.435973955507325,0.6201844818231146,0.387411828540423,0.4031470428648943,0.5116657623440044,0.1395833333333333,0.1375,0.1291666666666666,0.1541666666666666,0.1958333333333333,0.12605769089762567,0.1421714818266541
2016-02-21,MANILA CITY,36,0.15,0.0082079343365253,0.3353808353808356,0.2534482758620693,0.3952794357026586,0.2595936794582392,-0.6495807543153655,-0.7602926039513214,Medium,2,7,52,2016,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0.04808481532147739,0.0082079343365253,0.1677154582763337,0.0082079343365253,0.0082079343365253,0.3369164619164619,0.3783783783783783,0.253071253071253,0.3808353808353807,0.455773955773956,0.29396551724137954,0.2362068965517242,0.3241379310344832,0.3620689655172416,0.4603448275862071,0.434007053716766,0.3331524688008679,0.6201844818231146,0.387411828540423,0.4031470428648943,0.13854166666666667,0.1375,0.1375,0.1291666666666666,0.1541666666666666,0.13256914735482292,0.08193255951876627
2016-02-28,MANILA CITY,32,0.1333333333333333,0.0180574555403556,0.4336609336609339,0.3051724137931033,0.3719479110146499,0.3544018058690744,0.7751650613333931,-0.6317587575079564,Low,2,8,59,2016,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311558,0.050547195622434975,0.0082079343365253,0.0082079343365253,0.1677154582763337,0.0082079343365253,0.35012285012285016,0.3353808353808356,0.3783783783783783,0.253071253071253,0.3808353808353807,0.279741379310345,0.2534482758620693,0.2362068965517242,0.3241379310344832,0.3620689655172416,0.4301410743353228,0.3952794357026586,0.3331524688008679,0.6201844818231146,0.387411828540423,0.13958333333333334,0.15,0.1375,0.1375,0.1291666666666666,0.16129927836384703,0.1284885198678306
2016-03-06,MANILA CITY,32,0.1333333333333333,0.0054719562243502,0.3771498771498773,0.4034482758620689,0.5580575149213238,0.3544018058690744,0.0230363081876063,-0.99973462904167,Low,3,9,66,2016,1.0,6.123233995736766e-17,0.8854560256532098,0.4647231720437686,0.0099863201094391,0.0180574555403556,0.0082079343365253,0.0082079343365253,0.1677154582763337,0.3811425061425062,0.4336609336609339,0.3353808353808356,0.3783783783783783,0.253071253071253,0.29956896551724144,0.3051724137931033,0.2534482758620693,0.2362068965517242,0.3241379310344832,0.4146093326098751,0.3719479110146499,0.3952794357026586,0.3331524688008679,0.6201844818231146,0.13854166666666667,0.1333333333333333,0.15,0.1375,0.1375,0.2104713231951431,-0.026298398712191584
2016-03-13,MANILA CITY,20,0.0833333333333333,0.0082079343365253,0.6928746928746927,0.6103448275862073,0.3760173629951168,0.3227990970654626,-0.9849890569441702,0.1726167943748065,Low,3,10,73,2016,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0.0099863201094391,0.0054719562243502,0.0180574555403556,0.0082079343365253,0.0082079343365253,0.4597665847665849,0.3771498771498773,0.4336609336609339,0.3353808353808356,0.3783783783783783,0.3931034482758622,0.4034482758620689,0.3051724137931033,0.2534482758620693,0.2362068965517242,0.42532555615843726,0.5580575149213238,0.3719479110146499,0.3952794357026586,0.3331524688008679,0.12499999999999997,0.1333333333333333,0.1333333333333333,0.15,0.1375,0.2605329149007934,0.08252986528848538
2016-03-20,MANILA CITY,21,0.0875,0.0084815321477428,0.6093366093366093,0.5913793103448275,0.3255561584373306,0.291196388261851,0.0921967992962922,-0.9957408047275752,Low,3,11,80,2016,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,0.010054719562243476,0.0082079343365253,0.0054719562243502,0.0180574555403556,0.0082079343365253,0.5282555282555284,0.6928746928746927,0.3771498771498773,0.4336609336609339,0.3353808353808356,0.47758620689655173,0.6103448275862073,0.4034482758620689,0.3051724137931033,0.2534482758620693,0.40789473684210525,0.3760173629951168,0.5580575149213238,0.3719479110146499,0.3952794357026586,0.10937499999999997,0.0833333333333333,0.1333333333333333,0.1333333333333333,0.15,0.198373285730855,0.017957298991781778
2016-03-27,MANILA CITY,19,0.0791666666666666,0.0082079343365253,0.7162162162162167,0.531034482758621,0.3372219207813347,0.3882618510158013,-0.9220659278988153,-0.3870328469369193,Low,3,12,87,2016,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0.007592339261285901,0.0084815321477428,0.0082079343365253,0.0054719562243502,0.0180574555403556,0.598894348894349,0.6093366093366093,0.6928746928746927,0.3771498771498773,0.4336609336609339,0.5340517241379312,0.5913793103448275,0.6103448275862073,0.4034482758620689,0.3051724137931033,0.3992132392837765,0.3255561584373306,0.3760173629951168,0.5580575149213238,0.3719479110146499,0.0958333333333333,0.0875,0.0833333333333333,0.1333333333333333,0.1333333333333333,0.24152380812717233,0.1851817334575957
2016-04-03,MANILA CITY,35,0.1458333333333333,0.0027359781121751,0.6523341523341524,0.5982758620689659,0.329354313619099,0.291196388261851,-0.4852675035765308,0.8743657415364589,Medium,4,13,94,2016,0.8660254037844387,-0.49999999999999983,1.0,-1.6081226496766366e-16,0.006908344733242126,0.0082079343365253,0.0084815321477428,0.0082079343365253,0.0054719562243502,0.6676904176904177,0.7162162162162167,0.6093366093366093,0.6928746928746927,0.3771498771498773,0.5827586206896554,0.531034482758621,0.5913793103448275,0.6103448275862073,0.4034482758620689,0.34203743895822025,0.3372219207813347,0.3255561584373306,0.3760173629951168,0.5580575149213238,0.09895833333333329,0.0791666666666666,0.0875,0.0833333333333333,0.1333333333333333,0.21484906699231152,0.05405829026518649
2016-04-10,MANILA CITY,26,0.1083333333333333,0.0082079343365253,0.8390663390663397,0.7017241379310345,0.1782419967444383,0.4853273137697517,-0.8362861558477596,0.5482932295199138,Low,4,14,101,2016,0.8660254037844387,-0.49999999999999983,0.992708874098054,-0.12053668025532288,0.006908344733242125,0.0027359781121751,0.0082079343365253,0.0084815321477428,0.0082079343365253,0.7042383292383295,0.6523341523341524,0.7162162162162167,0.6093366093366093,0.6928746928746927,0.6056034482758622,0.5982758620689659,0.531034482758621,0.5913793103448275,0.6103448275862073,0.2925935973955507,0.329354313619099,0.3372219207813347,0.3255561584373306,0.3760173629951168,0.10520833333333329,0.1458333333333333,0.0791666666666666,0.0875,0.0833333333333333,0.14955685967623028,0.13734220113530515
